,country,date,Population,GDP,Population_Growth,Physicians_per1000,HIV_Incidence,Land_area,Literacy_rate,Hospital_beds_per1000,Government_health_expenditure,Prevalence_underweight_under5,Infant_mortality_per1000,Maternal_mortality_per100000,Life_expectancy,Adult_obesity,HIV_Prevalence,Fertility_rate,Female_Population,Male_Population,Population_65+,Population_age_0to14,Population_15to64,Death_per1000,Income_level,Region,Codes
338,Nauru,2016,13049.0,7670.11640425255,4.49848608425274,,,20.0,,,14.08638191,,28.0,,,88.5,,,,,,,,,HIC,East Asia and Pacific,NRU
340,Nepal,2016,27261131.0,777.147595512165,0.906849996341606,,0.06,143350.0,,,6.27839279,27.3,28.5,200.0,69.848,21.0,0.1,2.027,54.4317937985059,45.5682062014941,1526733.0,8811521.0,16922877.0,6.451,LMC,South Asia,NPL
342,Netherlands,2016,17030314.0,46007.8529206547,0.532178879608489,3.547,0.06,33670.0,,3.41,10.2534523,,3.4,6.0,81.5609756097561,57.8,0.2,1.66,50.2689225226477,49.7310774773523,3128752.0,2823015.0,11078548.0,8.7,HIC,Europe and Central Asia,NLD
344,New Caledonia,2016,276550.0,,1.51200621653298,,,18280.0,,,,,,,76.9317073170732,,,2.08,49.5969947846384,50.4030052153616,24031.0,64663.0,187856.0,5.7,HIC,East Asia and Pacific,NCL
346,New Zealand,2016,4714100.0,39927.8048294529,2.24603210015584,3.3833,0.06,263310.0,,2.74,9.27398205,,4.4,10.0,81.6124390243903,65.6,0.1,1.87,50.8288109819896,49.1711890180104,707108.0,933857.0,3073135.0,6.61,HIC,East Asia and Pacific,NZL
348,Nicaragua,2016,6303974.0,2107.5727223615,1.28895567304368,0.9537,0.12,120340.0,,0.93,8.04877567,,16.0,100.0,73.86,58.2,0.2,2.455,50.7115357465216,49.2884642534784,307876.0,1948201.0,4047897.0,5.039,LMC,Latin America and Caribbean,NIC
350,Niger,2016,20788838.0,498.10416388359,3.86007879547775,0.0433,0.11,1266700.0,,,6.16463852,32.0,50.5,530.0,61.137,22.0,0.3,7.087,49.8258364159644,50.1741635840356,537243.0,10427129.0,9824466.0,8.82,LIC,Sub-saharan Africa,NER
352,Nigeria,2016,185960289.0,2176.00224545044,2.62770266215666,0.4494,0.86,910770.0,,,3.64773679,31.5,78.5,925.0,53.541,28.9,1.3,5.526,49.3540232179949,50.6459767820051,5106478.0,82019726.0,98834085.0,12.39,LMC,Sub-saharan Africa,NGA
354,North America,2016,359115352.0,56388.8554198654,0.76094804372579,,0.24,18113064.0,,2.75290321919853,16.5907371140255,0.709469974040985,5.7,18.0,78.8774577897405,67.5014792109055,0.4,1.7925235840092,50.5173705227562,49.4826294772438,54491779.0,67174931.0,237384089.0,8.38300889493301,INX,North America,North America
356,North Macedonia,2016,2080745.0,5129.15896023703,0.068123807192842,,,25220.0,,4.37,6.37943363,,10.5,8.0,75.498,58.1,,1.506,49.9613119525401,50.0386880474599,267561.0,349111.0,1464072.0,9.88,LMY,Europe and Central Asia,MKD
358,Northern Mariana Islands,2016,56188.0,22246.7430768136,0.728782876932043,,,460.0,,,,,,,,,,,,,,,,,HIC,Northern Mariana Islands,MNP
360,Norway,2016,5234519.0,70459.1825041029,0.880969815359919,2.6983,,365145.73,,3.68,10.59129524,,2.1,3.0,82.4073170731707,58.3,,1.71,49.6042049533894,50.3957950466106,868628.0,931839.0,3434052.0,7.8,HIC,Europe and Central Asia,NOR
362,Not classified,2016,,,,,,,,,,,,,,,,,,,,,,,INX,Not classified,Not classified
364,OECD members,2016,1336665971.0,36044.1839568154,0.665008757291716,,,35456683.36,,4.71392399006468,12.5199333465602,,6.44692479750799,18.0,79.961264716336,58.0142854755646,,1.74063262840637,50.8435711916959,49.1564288083041,216710259.0,243965506.0,875990206.0,8.37587166070453,INX,OECD members,OECD members
